state,type,count
CO,Player to Population Ratio,0.309504877826997
CT,Player to Population Ratio,0.840443524620427
DE,Player to Population Ratio,0.6253207181045
DC,Player to Population Ratio,10.0633435291482
FL,Player to Population Ratio,0.485262473221623
GA,Player to Population Ratio,1.1105522860501
HI,Player to Population Ratio,0.137380222559093
ID,Player to Population Ratio,0.238634324299841
IL,Player to Population Ratio,1.66546511669373
IN,Player to Population Ratio,1.6850631927826
IA,Player to Population Ratio,0.627652712236993
KS,Player to Population Ratio,1.04090290490366
KY,Player to Population Ratio,2.05471848584991
LA,Player to Population Ratio,2.22295900276901
ME,Player to Population Ratio,0.0733107356410766
MD,Player to Population Ratio,0.962631624725045
MA,Player to Population Ratio,0.520406313464173
MI,Player to Population Ratio,1.32835386482032
MN,Player to Population Ratio,0.78620035218905
MS,Player to Population Ratio,2.76824133896896
MO,Player to Population Ratio,0.820141331472714
MT,Player to Population Ratio,0.85737224730376
NE,Player to Population Ratio,0.621905804400656
NV,Player to Population Ratio,0.24041733712235
NH,Player to Population Ratio,0.0734917453010364
NJ,Player to Population Ratio,1.12366447456944
NM,Player to Population Ratio,0.327281254929932
NY,Player to Population Ratio,1.53576421212368
NC,Player to Population Ratio,1.0688462401245
ND,Player to Population Ratio,0.791173846487979
OH,Player to Population Ratio,1.28676816669646
OK,Player to Population Ratio,0.854896777782328
OR,Player to Population Ratio,0.61400461696452
PA,Player to Population Ratio,1.35735209648505
RI,Player to Population Ratio,0.646878399472625
SC,Player to Population Ratio,0.706229864287883
SD,Player to Population Ratio,0.571452533525384
TN,Player to Population Ratio,1.16130032994594
TX,Player to Population Ratio,0.513648165874308
UT,Player to Population Ratio,0.66267788093592
VT,Player to Population Ratio,0
VA,Player to Population Ratio,0.784642090238877
WA,Player to Population Ratio,0.718046904710651
WV,Player to Population Ratio,1.26476916683573
WI,Player to Population Ratio,0.779053596394722
WY,Player to Population Ratio,1.00155065256641
AL,Hall of Famer to Population Ratio,0.566829043016852
AK,Hall of Famer to Population Ratio,0
AZ,Hall of Famer to Population Ratio,0
AR,Hall of Famer to Population Ratio,1.85328778998023
CA,Hall of Famer to Population Ratio,0.779239609961143
CO,Hall of Famer to Population Ratio,0
CT,Hall of Famer to Population Ratio,0.764252037127029
DE,Hall of Famer to Population Ratio,0
DC,Hall of Famer to Population Ratio,16.6871872922489
FL,Hall of Famer to Population Ratio,0.414526720855462
GA,Hall of Famer to Population Ratio,0.272226834736418
HI,Hall of Famer to Population Ratio,0
ID,Hall of Famer to Population Ratio,0
IL,Hall of Famer to Population Ratio,1.28042420021673
IN,Hall of Famer to Population Ratio,1.25003553548074
IA,Hall of Famer to Population Ratio,0
KS,Hall of Famer to Population Ratio,0
KY,Hall of Famer to Population Ratio,3.73689068338665
LA,Hall of Famer to Population Ratio,4.72939228305444
ME,Hall of Famer to Population Ratio,0
MD,Hall of Famer to Population Ratio,0
MA,Hall of Famer to Population Ratio,0
MI,Hall of Famer to Population Ratio,1.38688286652697
MN,Hall of Famer to Population Ratio,0.5036981096509
MS,Hall of Famer to Population Ratio,1.83613573598955
MO,Hall of Famer to Population Ratio,1.35997066628589
MT,Hall of Famer to Population Ratio,2.68544755621005
NE,Hall of Famer to Population Ratio,0
NV,Hall of Famer to Population Ratio,0
NH,Hall of Famer to Population Ratio,0
NJ,Hall of Famer to Population Ratio,0.922593613619536
NM,Hall of Famer to Population Ratio,0
NY,Hall of Famer to Population Ratio,3.06250353199295
NC,Hall of Famer to Population Ratio,1.38212875878167
ND,Hall of Famer to Population Ratio,0
OH,Hall of Famer to Population Ratio,1.42249219239264
OK,Hall of Famer to Population Ratio,0
OR,Hall of Famer to Population Ratio,0
PA,Hall of Famer to Population Ratio,2.14962289592509
RI,Hall of Famer to Population Ratio,0
SC,Hall of Famer to Population Ratio,0.568810752763886
SD,Hall of Famer to Population Ratio,0
TN,Hall of Famer to Population Ratio,0.839401432122729
TX,Hall of Famer to Population Ratio,0.305906295970554
UT,Hall of Famer to Population Ratio,0
VT,Hall of Famer to Population Ratio,0
VA,Hall of Famer to Population Ratio,0.990393580190862
WA,Hall of Famer to Population Ratio,0.389259512334853
WV,Hall of Famer to Population Ratio,2.9711172238167
WI,Hall of Famer to Population Ratio,0
WY,Hall of Famer to Population Ratio,0
