season.id,player.id,game.id,game.date,matchup,wl,min,fgm,fga,fg.pct,fg3m,fg3a,fg3.pct,ftm,fta,ft.pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus.minus,video.available,win,location.home,id.team.player,id.team.opponent,id.season,season
22013,201939,0021300660,2014-01-26T00:00:00Z,GSW vs. POR,W,35,13,23,0.565,5,8,0.625,7,10,0.7,1,6,7,8,2,0,2,1,38,12,1,TRUE,TRUE,GSW,POR,2013-14,2014
22013,201939,0021300673,2014-01-28T00:00:00Z,GSW vs. WAS,L,38,8,23,0.348,2,7,0.286,5,6,0.833,0,2,2,4,4,0,6,5,23,-9,1,FALSE,TRUE,GSW,WAS,2013-14,2014
22013,201939,0021300688,2014-01-30T00:00:00Z,GSW vs. LAC,W,34,8,10,0.8,4,4,1,2,2,1,0,4,4,7,1,1,3,3,22,23,1,TRUE,TRUE,GSW,LAC,2013-14,2014
22013,201939,0021300696,2014-01-31T00:00:00Z,GSW @ UTA,W,38,14,26,0.538,8,13,0.615,8,9,0.889,0,2,2,4,0,0,2,0,44,15,1,TRUE,FALSE,GSW,UTA,2013-14,2014
22013,201939,0021300724,2014-02-04T00:00:00Z,GSW vs. CHA,L,38,8,18,0.444,1,7,0.143,0,0,0,1,2,3,11,0,0,2,2,17,-18,1,FALSE,TRUE,GSW,CHA,2013-14,2014
22013,201939,0021300738,2014-02-06T00:00:00Z,GSW vs. CHI,W,43,13,19,0.684,4,6,0.667,4,4,1,0,3,3,9,1,0,2,3,34,12,1,TRUE,TRUE,GSW,CHI,2013-14,2014
22013,201939,0021300754,2014-02-08T00:00:00Z,GSW @ PHX,L,41,10,20,0.5,3,10,0.3,5,6,0.833,1,1,2,9,0,0,2,2,28,-15,1,FALSE,FALSE,GSW,PHX,2013-14,2014
22013,201939,0021300769,2014-02-10T00:00:00Z,GSW vs. PHI,W,27,7,11,0.636,6,9,0.667,3,3,1,2,3,5,8,1,0,7,3,23,34,1,TRUE,TRUE,GSW,PHI,2013-14,2014
22013,201939,0021300788,2014-02-12T00:00:00Z,GSW vs. MIA,L,39,8,14,0.571,4,4,1,9,9,1,1,4,5,7,1,0,5,3,29,4,1,FALSE,TRUE,GSW,MIA,2013-14,2014
22013,201939,0021300810,2014-02-19T00:00:00Z,GSW @ SAC,W,36,5,14,0.357,1,4,0.25,2,3,0.667,0,1,1,8,1,0,0,2,13,12,1,TRUE,FALSE,GSW,SAC,2013-14,2014
22013,201939,0021300814,2014-02-20T00:00:00Z,GSW vs. HOU,W,38,8,15,0.533,5,8,0.625,4,4,1,0,2,2,6,2,0,2,5,25,13,1,TRUE,TRUE,GSW,HOU,2013-14,2014
22013,201939,0021300832,2014-02-22T00:00:00Z,GSW vs. BKN,W,32,7,13,0.538,3,4,0.75,0,0,0,0,5,5,8,2,0,2,2,17,12,1,TRUE,TRUE,GSW,BKN,2013-14,2014
22013,201939,0021300842,2014-02-24T00:00:00Z,GSW @ DET,W,36,6,15,0.4,3,9,0.333,4,5,0.8,3,5,8,9,0,0,4,0,19,-2,1,TRUE,FALSE,GSW,DET,2013-14,2014
22013,201939,0021300855,2014-02-26T00:00:00Z,GSW @ CHI,L,28,2,10,0.2,1,5,0.2,0,0,0,0,3,3,5,0,0,5,0,5,-12,1,FALSE,FALSE,GSW,CHI,2013-14,2014
22013,201939,0021300869,2014-02-28T00:00:00Z,GSW @ NYK,W,30,9,19,0.474,5,11,0.455,4,4,1,2,9,11,11,0,1,4,2,27,19,1,TRUE,FALSE,GSW,NYK,2013-14,2014
22013,201939,0021300884,2014-03-02T00:00:00Z,GSW @ TOR,L,43,13,27,0.481,4,11,0.364,4,6,0.667,1,3,4,7,1,0,6,3,34,-1,1,FALSE,FALSE,GSW,TOR,2013-14,2014
22013,201939,0021300899,2014-03-04T00:00:00Z,GSW @ IND,W,32,7,18,0.389,2,5,0.4,3,3,1,1,7,8,6,2,0,4,5,19,-7,1,TRUE,FALSE,GSW,IND,2013-14,2014
22013,201939,0021300907,2014-03-05T00:00:00Z,GSW @ BOS,W,22,6,10,0.6,1,4,0.25,1,1,1,0,3,3,4,1,0,0,3,14,28,1,TRUE,FALSE,GSW,BOS,2013-14,2014
22013,201939,0021300927,2014-03-07T00:00:00Z,GSW vs. ATL,W,30,5,10,0.5,1,4,0.25,2,2,1,0,3,3,7,1,0,0,1,13,10,1,TRUE,TRUE,GSW,ATL,2013-14,2014
22013,201939,0021300942,2014-03-09T00:00:00Z,GSW vs. PHX,W,30,7,16,0.438,1,5,0.2,3,3,1,0,2,2,9,0,0,1,1,18,11,1,TRUE,TRUE,GSW,PHX,2013-14,2014
